season,player,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pts_per_game,AllStar
2024,Damian Jones,1.6,0.4,0.2,0.3,0.3,2.7,0
2024,Damian Lillard,4.4,7.0,1.0,0.2,2.6,24.3,1
2024,Daniel Gafford,7.6,1.6,0.9,2.1,1.0,11.0,0
2024,Daniel Gafford,8.0,1.5,1.0,2.2,1.0,10.9,0
2024,Daniel Gafford,6.9,1.6,0.7,1.9,1.0,11.2,0
2024,Daniel Theis,4.1,1.0,0.4,0.9,0.7,6.3,0
2024,Daniel Theis,0.0,0.0,0.0,0.0,0.0,2.0,0
2024,Daniel Theis,4.1,1.0,0.4,0.9,0.7,6.3,0
2024,Danilo Gallinari,2.2,1.1,0.3,0.1,0.5,5.7,0
2024,Danilo Gallinari,2.9,1.2,0.2,0.1,0.5,7.0,0
2024,Danilo Gallinari,2.3,2.0,0.3,0.3,0.2,8.7,0
2024,Danilo Gallinari,1.1,0.7,0.4,0.1,0.6,2.8,0
2024,Danny Green,1.0,0.5,0.5,0.0,0.0,0.0,0
2024,Dante Exum,2.7,2.9,0.4,0.1,0.9,7.8,0
2024,Danuel House Jr.,1.7,0.8,0.4,0.1,0.6,4.2,0
2024,Dario Šarić,4.4,2.3,0.5,0.2,1.2,8.0,0
2024,Dariq Whitehead,2.0,1.5,0.0,0.5,0.0,1.5,0
2024,Darius Bazley,3.1,0.8,0.7,0.8,0.9,5.3,0
2024,Darius Bazley,0.3,0.7,0.0,0.0,0.3,0.0,0
2024,Darius Bazley,4.5,0.8,1.0,1.2,1.2,8.0,0
2024,Darius Garland,2.7,6.5,1.3,0.1,3.1,18.0,0
2024,David Duke Jr.,2.5,1.3,0.5,0.0,0.8,6.5,0
2024,David Roddy,3.2,1.2,0.4,0.2,0.9,6.5,0
2024,David Roddy,4.2,1.6,0.5,0.2,1.1,8.4,0
2024,David Roddy,0.6,0.2,0.1,0.0,0.2,1.3,0
2024,Davion Mitchell,1.3,1.9,0.2,0.0,0.6,5.3,0
2024,Day'Ron Sharpe,6.4,1.4,0.4,0.7,1.1,6.8,0
2024,De'Aaron Fox,4.6,5.6,2.0,0.4,2.6,26.6,0
2024,De'Andre Hunter,3.9,1.5,0.7,0.3,1.5,15.6,0
2024,De'Anthony Melton,3.7,3.0,1.6,0.4,1.0,11.1,0
2024,DeAndre Jordan,4.4,0.7,0.2,0.4,0.6,3.9,0
2024,DeJon Jarreau,4.9,2.9,0.7,0.2,1.0,4.8,0
2024,DeMar DeRozan,4.3,5.3,1.1,0.6,1.7,24.0,0
2024,Dean Wade,4.0,0.8,0.7,0.5,0.4,5.4,0
2024,Deandre Ayton,11.1,1.6,1.0,0.8,1.8,16.7,0
2024,Dejounte Murray,5.3,6.4,1.4,0.3,2.6,22.5,0
2024,Delon Wright,1.8,2.5,1.1,0.2,0.3,4.5,0
2024,Delon Wright,1.8,2.5,1.1,0.2,0.3,4.1,0
2024,Delon Wright,1.9,2.6,1.4,0.2,0.2,5.4,0
2024,Deni Avdija,7.2,3.8,0.8,0.5,2.1,14.7,0
2024,Dennis Schröder,3.0,6.1,0.8,0.2,1.9,14.0,0
2024,Dennis Schröder,2.7,6.1,0.9,0.2,1.6,13.7,0
2024,Dennis Schröder,3.5,6.0,0.6,0.3,2.4,14.6,0
2024,Dennis Smith Jr.,2.9,3.6,1.2,0.2,1.2,6.6,0
2024,Dereck Lively II,6.9,1.1,0.7,1.4,0.9,8.8,0
2024,Dereon Seabron,1.2,0.8,0.3,0.2,0.0,2.3,0
2024,Derrick Jones Jr.,3.3,1.0,0.7,0.7,0.9,8.6,0
2024,Derrick Rose,1.9,3.3,0.3,0.1,1.3,8.0,0
2024,Derrick White,4.2,5.2,1.0,1.2,1.5,15.2,0
2024,Desmond Bane,4.4,5.5,1.0,0.5,2.7,23.7,0
2024,Devin Booker,4.5,6.9,0.9,0.4,2.6,27.1,1
2024,Devin Vassell,3.8,4.1,1.1,0.3,1.6,19.5,0
2024,Devonte' Graham,1.6,2.1,0.4,0.1,0.7,5.0,0
2024,Dexter Dennis,2.3,1.0,0.0,0.3,0.8,5.5,0
2024,Dillon Brooks,3.4,1.7,0.9,0.1,1.2,12.7,0
2024,Dmytro Skapintsev,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Domantas Sabonis,13.7,8.2,0.9,0.6,3.3,19.4,0
2024,Dominick Barlow,3.4,1.1,0.4,0.4,0.3,4.4,0
2024,Donovan Mitchell,5.1,6.1,1.8,0.5,2.8,26.6,1
2024,Donte DiVincenzo,3.7,2.7,1.3,0.4,1.4,15.5,0
